player.name,team.name,label,stoppedProgressCount,recoveredPossessionCount,totalDuels,stoppedProgressPercentage,recoveredPossessionPercentage
Diogo Gonçalves,København,"Lyngby - København, 0 - 2",0,0,2,0.0,0.0
E. Achouri,København,"København - Brøndby, 3 - 1",6,2,8,75.0,25.0
E. Achouri,København,"København - Randers, 1 - 1",False,False,1,0.0,0.0
E. Achouri,København,"København - Viborg, 1 - 1",3,0,4,75.0,0.0
E. Achouri,København,"Midtjylland - København, 2 - 1",1,0,3,33.33333333333333,0.0
E. Achouri,København,"Nordsjælland - København, 3 - 2",2,1,2,100.0,50.0
E. Achouri,København,"SønderjyskE - København, 0 - 2",2,0,2,100.0,0.0
E. Chilufya,Midtjylland,"AGF - Midtjylland, 1 - 1",False,False,1,0.0,0.0
E. Chilufya,Midtjylland,"Lyngby - Midtjylland, 1 - 2",1,0,3,33.33333333333333,0.0
E. Chilufya,Midtjylland,"Midtjylland - København, 2 - 1",1,1,2,50.0,50.0
E. Chilufya,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",2,0,3,66.66666666666666,0.0
E. Chilufya,Midtjylland,"Midtjylland - Vejle, 2 - 0",1,1,5,20.0,20.0
E. Chilufya,Midtjylland,"Nordsjælland - Midtjylland, 2 - 2",1,0,2,50.0,0.0
E. Chilufya,Midtjylland,"Silkeborg - Midtjylland, 1 - 3",2,0,2,100.0,0.0
E. Kahl,AGF,"AGF - Midtjylland, 1 - 1",1,1,2,50.0,50.0
E. Kahl,AGF,"AGF - Nordsjælland, 4 - 2",3,0,7,42.857142857142854,0.0
E. Kahl,AGF,"AGF - Silkeborg, 1 - 1",8,2,11,72.72727272727273,18.181818181818183
E. Kahl,AGF,"AGF - SønderjyskE, 4 - 0",2,0,2,100.0,0.0
E. Kahl,AGF,"AGF - Vejle, 5 - 1",4,0,4,100.0,0.0
E. Kahl,AGF,"AaB - AGF, 0 - 4",5,4,5,100.0,80.0
E. Kahl,AGF,"Brøndby - AGF, 0 - 1",1,1,2,50.0,50.0
E. Kahl,AGF,"København - AGF, 3 - 2",True,True,1,100.0,100.0
E. Martínez,Midtjylland,"Lyngby - Midtjylland, 1 - 2",1,0,2,50.0,0.0
E. Martínez,Midtjylland,"Midtjylland - AaB, 2 - 0",6,1,7,85.71428571428571,14.285714285714285
E. Martínez,Midtjylland,"Midtjylland - København, 2 - 1",6,1,9,66.66666666666666,11.11111111111111
E. Martínez,Midtjylland,"Midtjylland - SønderjyskE, 3 - 2",4,2,4,100.0,50.0
