PLAYER_WYID,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
624743,"OB U19 - Lyngby U19, 2 - 0",9,6,1,66.67,11.11
624743,"SønderjyskE U19 - OB U19, 1 - 3",3,2,1,66.67,33.33
624745,"AaB U19 - OB U19, 1 - 0",7,4,0,57.14,0.0
624745,"Horsens U19 - OB U19, 0 - 3",3,2,0,66.67,0.0
624745,"Lyngby U19 - OB U19, 1 - 2",12,7,2,58.33,16.67
624745,"Midtjylland U19 - OB U19, 5 - 2",2,0,0,0.0,0.0
624745,"Nordsjælland U19 - OB U19, 0 - 0",7,2,1,28.57,14.29
624745,"OB U19 - AaB U19, 4 - 4",3,1,0,33.33,0.0
624745,"OB U19 - Brøndby U19, 2 - 0",4,1,0,25.0,0.0
624745,"OB U19 - København U19, 3 - 2",4,3,0,75.0,0.0
624745,"OB U19 - Midtjylland U19, 3 - 4",7,6,1,85.71,14.29
624745,"OB U19 - Nordsjælland U19, 0 - 0 (P)",11,8,1,72.73,9.09
624745,"OB U19 - Randers U19, 0 - 0",2,0,0,0.0,0.0
624745,"OB U19 - Silkeborg U19, 2 - 0",3,0,0,0.0,0.0
624745,"OB U19 - Sønderjyske U19, 1 - 0",3,3,1,100.0,33.33
624745,"OB U19 - Vejle U19, 4 - 0",2,1,0,50.0,0.0
624745,"Randers U19 - OB U19, 1 - 5",6,5,1,83.33,16.67
624745,"Silkeborg U19 - OB U19, 2 - 3",7,5,2,71.43,28.57
624745,"Vejle U19 - OB U19, 0 - 1",8,7,3,87.5,37.5
624752,"AGF U19 - OB U19, 2 - 2 (P)",5,2,1,40.0,20.0
624752,"AaB U19 - OB U19, 1 - 0",4,1,0,25.0,0.0
624752,"Brøndby U19 - OB U19, 2 - 4",6,4,2,66.67,33.33
624752,"København U19 - OB U19, 4 - 0",10,6,1,60.0,10.0
624752,"OB U19 - Esbjerg U19, 3 - 1",3,3,2,100.0,66.67
624752,"OB U19 - Horsens U19, 2 - 0",7,5,2,71.43,28.57
624752,"OB U19 - Lyngby U19, 2 - 0",5,4,1,80.0,20.0
624752,"OB U19 - Midtjylland U19, 3 - 4",17,12,4,70.59,23.53
